Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2019-09-28,Cercle Brugge,Eupen,A,1.2,2.0,15.8,5.2,7.6,0.2,0.8,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.20000000000000007,-0.20000000000000018,0.30952380952380953,0.25,0.0,2
2019-09-28,Gent,Kortrijk,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.0,0.7999999999999998,0.3230769230769231,0.31818181818181823,0.0,0
2019-09-28,Mouscron,Waregem,D,1.2,1.8,13.6,3.8,5.2,0.2,0.8,2.2,2.2,10.2,5.0,4.4,0.2,0.8,0.0,-0.6000000000000001,0.2602739726027397,0.44642857142857145,0.0,1
2019-09-28,St Truiden,Genk,D,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-1.4,-1.7999999999999998,0.33333333333333337,0.3333333333333333,-0.6,1
2019-09-29,Anderlecht,Waasland-Beveren,D,1.4,0.6,12.4,4.4,5.8,0.6,2.2,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.0000000000000002,1.0,0.3283582089552239,0.4459459459459459,0.19999999999999996,1
2019-09-29,Standard,Charleroi,D,0.4,0.6,9.8,1.8,2.8,0.4,1.4,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-0.40000000000000013,-0.40000000000000013,0.16666666666666666,0.275,-0.19999999999999996,1
2019-10-04,Charleroi,Anderlecht,A,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-0.40000000000000013,-0.5999999999999998,0.275,0.3283582089552239,0.0,2
2019-10-05,Eupen,Mechelen,A,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.8,1.8,13.4,5.2,4.4,0.4,1.4,-0.7999999999999999,-0.5999999999999999,0.25,0.3611111111111111,-0.2,2
2019-10-05,Waasland-Beveren,Oostende,H,2.0,2.2,13.8,6.6,5.0,0.4,1.2,0.8,3.0,14.8,5.8,5.4,0.2,0.6,0.6,2.0,0.4459459459459459,0.36708860759493667,0.2,0
2019-10-05,Waregem,Cercle Brugge,H,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.2,2.0,15.8,5.2,7.6,0.2,0.8,0.0,0.8,0.44642857142857145,0.30952380952380953,0.0,0
