FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
2.0,2.0,2,1.0,7.0,0.0,9.0,6.0,4.0,18.0
4.0,1.0,2,2.0,2.0,1.0,8.0,6.0,3.1,12.0
0.0,1.0,0,0.0,4.0,1.0,12.0,2.0,6.5,12.0
2.0,2.0,0,0.0,4.0,2.0,20.0,5.0,2.85,9.0
1.0,1.0,1,0.0,4.0,0.0,16.0,7.0,4.33,21.0
2.0,0.0,1,0.0,2.0,0.0,15.0,4.0,7.5,11.0
2.0,0.0,1,0.0,0.0,0.0,17.0,8.0,3.1,18.0
2.0,1.0,0,0.0,4.0,1.0,16.0,3.0,2.65,11.0
0.0,2.0,0,0.0,3.0,1.0,14.0,3.0,5.25,13.0
2.0,2.0,2,2.0,5.0,1.0,8.0,5.0,2.9,13.0
2.0,2.0,1,1.0,4.0,1.0,14.0,4.0,5.5,12.0
1.0,2.0,0,0.0,5.0,1.0,14.0,6.0,2.3,11.0
3.0,1.0,2,1.0,1.0,0.0,11.0,6.0,2.95,17.0
3.0,0.0,2,1.0,1.0,0.0,8.0,6.0,2.15,7.0
2.0,0.0,2,2.0,3.0,0.0,13.0,3.0,3.8,19.0
1.0,1.0,2,1.0,1.0,0.0,14.0,3.0,6.75,15.0
0.0,4.0,0,0.0,10.0,3.0,11.0,4.0,1.98,10.0
0.0,3.0,0,0.0,5.0,1.0,8.0,5.0,2.3,10.0
3.0,0.0,2,1.0,2.0,0.0,13.0,6.0,3.4,12.0
1.0,1.0,2,1.0,7.0,0.0,14.0,3.0,2.7,15.0
2.0,1.0,2,1.0,1.0,0.0,13.0,5.0,23.0,15.0
1.0,3.0,0,1.0,7.0,2.0,7.0,2.0,1.71,8.0
1.0,1.0,0,0.0,3.0,1.0,15.0,5.0,4.0,18.0
1.0,4.0,1,1.0,8.0,1.0,10.0,3.0,2.0,12.0
0.0,0.0,1,0.0,2.0,0.0,4.0,4.0,3.2,14.0
2.0,2.0,1,2.0,4.0,2.0,13.0,3.0,2.1,7.0
5.0,0.0,2,2.0,2.0,0.0,10.0,9.0,7.0,14.0
