date,home_team,away_team,score,stats_url,uid
Saturday 03 May 2025,Everton FC,Ipswich Town FC,2 - 2,https://www.football.co.uk/match-reports/everton/everton/3497756-9/,Saturday 03 May 2025|Everton FC|Ipswich Town FC
Saturday 03 May 2025,Leicester City FC,Southampton FC,2 - 0,https://www.football.co.uk/match-reports/leicester_city/leicester_city/3497757-9/,Saturday 03 May 2025|Leicester City FC|Southampton FC
Saturday 03 May 2025,Aston Villa FC,Fulham FC,1 - 0,https://www.football.co.uk/match-reports/aston_villa/aston_villa/3497751-9/,Saturday 03 May 2025|Aston Villa FC|Fulham FC
Saturday 03 May 2025,Norwich City FC,Cardiff City FC,4 - 2,https://www.football.co.uk/match-reports/norwich_city/norwich_city/3500965-9/,Saturday 03 May 2025|Norwich City FC|Cardiff City FC
Saturday 03 May 2025,Bristol City FC,Preston North End FC,2 - 2,https://www.football.co.uk/match-reports/bristol_city/bristol_city/3500961-9/,Saturday 03 May 2025|Bristol City FC|Preston North End FC
Saturday 03 May 2025,Burnley FC,Millwall FC,3 - 1,https://www.football.co.uk/match-reports/burnley/burnley/3500962-9/,Saturday 03 May 2025|Burnley FC|Millwall FC
Saturday 03 May 2025,Coventry City FC,Middlesbrough FC,2 - 0,https://www.football.co.uk/match-reports/coventry_city/coventry_city/3500963-9/,Saturday 03 May 2025|Coventry City FC|Middlesbrough FC
Saturday 03 May 2025,Watford FC,Sheffield Wednesday FC,1 - 1,https://www.football.co.uk/match-reports/watford/watford/3500971-9/,Saturday 03 May 2025|Watford FC|Sheffield Wednesday FC
Saturday 03 May 2025,West Bromwich Albion FC,Luton Town FC,5 - 3,https://www.football.co.uk/match-reports/west_bromwich_albion/west_bromwich_albion/3500972-9/,Saturday 03 May 2025|West Bromwich Albion FC|Luton Town FC
Saturday 03 May 2025,Derby County FC,Stoke City FC,0 - 0,https://www.football.co.uk/match-reports/derby_county/derby_county/3500964-9/,Saturday 03 May 2025|Derby County FC|Stoke City FC
Saturday 03 May 2025,Sunderland AFC,Queens Park Rangers FC,0 - 1,https://www.football.co.uk/match-reports/sunderland/sunderland/3500969-9/,Saturday 03 May 2025|Sunderland AFC|Queens Park Rangers FC
Saturday 03 May 2025,Portsmouth FC,Hull City AFC,1 - 1,https://www.football.co.uk/match-reports/portsmouth/portsmouth/3500967-9/,Saturday 03 May 2025|Portsmouth FC|Hull City AFC
Saturday 03 May 2025,Swansea City AFC,Oxford United FC,3 - 3,https://www.football.co.uk/match-reports/swansea_city/swansea_city/3500970-9/,Saturday 03 May 2025|Swansea City AFC|Oxford United FC
Saturday 03 May 2025,Sheffield United FC,Blackburn Rovers FC,1 - 1,https://www.football.co.uk/match-reports/sheffield_united/sheffield_united/3500968-9/,Saturday 03 May 2025|Sheffield United FC|Blackburn Rovers FC
Saturday 03 May 2025,Plymouth Argyle FC,Leeds United FC,1 - 2,https://www.football.co.uk/match-reports/plymouth_argyle/plymouth_argyle/3500966-9/,Saturday 03 May 2025|Plymouth Argyle FC|Leeds United FC
Saturday 03 May 2025,Mansfield Town FC,Exeter City FC,3 - 0,https://www.football.co.uk/match-reports///3501519-9/,Saturday 03 May 2025|Mansfield Town FC|Exeter City FC
Saturday 03 May 2025,Reading FC,Barnsley FC,2 - 4,https://www.football.co.uk/match-reports/reading/reading/3501521-9/,Saturday 03 May 2025|Reading FC|Barnsley FC
Saturday 03 May 2025,Northampton Town FC,Wigan Athletic FC,1 - 1,https://www.football.co.uk/match-reports/northampton_town/northampton_town/3501520-9/,Saturday 03 May 2025|Northampton Town FC|Wigan Athletic FC
Saturday 03 May 2025,Shrewsbury Town FC,Crawley Town FC,1 - 2,https://www.football.co.uk/match-reports/shrewsbury_town/shrewsbury_town/3501523-9/,Saturday 03 May 2025|Shrewsbury Town FC|Crawley Town FC
Saturday 03 May 2025,Rotherham United FC,Peterborough United FC,2 - 1,https://www.football.co.uk/match-reports/rotherham_united/rotherham_united/3501522-9/,Saturday 03 May 2025|Rotherham United FC|Peterborough United FC
Saturday 03 May 2025,Charlton Athletic FC,Burton Albion FC,3 - 1,https://www.football.co.uk/match-reports/charlton_athletic/charlton_athletic/3501516-9/,Saturday 03 May 2025|Charlton Athletic FC|Burton Albion FC
Saturday 03 May 2025,Blackpool FC,Bristol Rovers FC,4 - 1,https://www.football.co.uk/match-reports/blackpool/blackpool/3501513-9/,Saturday 03 May 2025|Blackpool FC|Bristol Rovers FC
Saturday 03 May 2025,Cambridge United FC,Birmingham City FC,1 - 2,https://www.football.co.uk/match-reports/cambridge_united/cambridge_united/3501515-9/,Saturday 03 May 2025|Cambridge United FC|Birmingham City FC
Saturday 03 May 2025,Bolton Wanderers FC,Stevenage FC,1 - 1,https://www.football.co.uk/match-reports/bolton_wanderers/bolton_wanderers/3501514-9/,Saturday 03 May 2025|Bolton Wanderers FC|Stevenage FC
Saturday 03 May 2025,Huddersfield Town AFC,Leyton Orient FC,1 - 4,https://www.football.co.uk/match-reports/huddersfield_town/huddersfield_town/3501517-9/,Saturday 03 May 2025|Huddersfield Town AFC|Leyton Orient FC
Saturday 03 May 2025,Lincoln City FC,Wrexham AFC,0 - 2,https://www.football.co.uk/match-reports/lincoln_city/lincoln_city/3501518-9/,Saturday 03 May 2025|Lincoln City FC|Wrexham AFC
Saturday 03 May 2025,Wycombe Wanderers FC,Stockport County FC,1 - 3,https://www.football.co.uk/match-reports/wycombe_wanderers/wycombe_wanderers/3501524-9/,Saturday 03 May 2025|Wycombe Wanderers FC|Stockport County FC
Saturday 03 May 2025,Dundee FC,Motherwell FC,1 - 2,https://www.football.co.uk/match-reports/dundee_united/dundee_united/3536370-9/,Saturday 03 May 2025|Dundee FC|Motherwell FC
Saturday 03 May 2025,Ross County FC,Heart of Midlothian FC,1 - 3,https://www.football.co.uk/match-reports/ross_county/ross_county/3536371-9/,Saturday 03 May 2025|Ross County FC|Heart of Midlothian FC
Saturday 03 May 2025,St. Mirren FC,Aberdeen FC,1 - 0,https://www.football.co.uk/match-reports/st_mirren/st_mirren/3536356-9/,Saturday 03 May 2025|St. Mirren FC|Aberdeen FC
Saturday 03 May 2025,Hibernian FC,Dundee United FC,3 - 1,https://www.football.co.uk/match-reports/hibernian/hibernian/3536355-9/,Saturday 03 May 2025|Hibernian FC|Dundee United FC
