Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2023-02-25,Eupen,Cercle Brugge,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.2,2.0,13.8,4.4,5.2,0.2,0.8,-0.20000000000000007,0.20000000000000018,0.25,0.2972972972972973,0.0,1
2023-02-25,Genk,Oostende,H,1.4,1.4,11.6,5.2,3.6,0.4,1.2,0.8,1.4,12.8,4.8,5.4,0.0,0.6,0.6,0.5999999999999999,0.41269841269841273,0.34782608695652173,0.4,0
2023-02-25,Westerlo,St. Gilloise,H,2.2,2.2,14.2,5.0,7.4,0.4,1.4,2.0,0.4,13.6,5.6,4.4,0.8,2.6,-1.2000000000000002,-1.6,0.32894736842105265,0.3835616438356164,-0.4,0
2023-02-26,Oud-Heverlee Leuven,Antwerp,D,0.8,2.6,10.0,2.6,6.0,0.0,0.2,1.2,1.8,10.2,4.0,3.8,0.2,1.0,-0.8,-1.2,0.23636363636363636,0.35714285714285715,-0.2,1
2023-02-26,Anderlecht,Standard,D,2.0,1.8,14.4,5.2,4.4,0.4,1.2,0.4,0.2,8.6,2.6,3.6,0.2,1.2,0.0,-5.551115123125783e-17,0.33766233766233766,0.27083333333333337,0.2,1
2023-02-26,Charleroi,St Truiden,H,2.0,1.4,14.2,5.4,4.8,0.6,2.2,2.2,1.6,13.0,5.2,5.0,0.6,2.0,0.20000000000000018,0.0,0.3552631578947369,0.37142857142857144,0.0,0
2023-03-04,Kortrijk,Charleroi,A,2.0,1.2,11.6,4.2,4.8,0.6,2.0,2.0,1.4,14.2,5.4,4.8,0.6,2.2,-0.20000000000000018,0.19999999999999996,0.33333333333333337,0.3552631578947369,0.0,2
2023-03-04,Cercle Brugge,Seraing,H,1.2,2.0,13.8,4.4,5.2,0.2,0.8,0.6,2.2,7.0,1.4,4.2,0.2,0.8,0.0,0.8,0.2972972972972973,0.175,0.0,0
2023-03-04,Oud-Heverlee Leuven,Waregem,H,0.8,2.6,10.0,2.6,6.0,0.0,0.2,1.2,2.0,12.6,3.0,6.0,0.0,0.8,-0.6000000000000001,-1.0,0.23636363636363636,0.22058823529411764,0.0,0
2023-03-04,Standard,Westerlo,H,0.4,0.2,8.6,2.6,3.6,0.2,1.2,2.2,2.2,14.2,5.0,7.4,0.4,1.4,-0.19999999999999996,0.2,0.27083333333333337,0.32894736842105265,-0.2,0
2023-03-05,St Truiden,Genk,D,2.2,1.6,13.0,5.2,5.0,0.6,2.0,1.4,1.4,11.6,5.2,3.6,0.4,1.2,0.8,0.6000000000000001,0.37142857142857144,0.41269841269841273,0.19999999999999996,1
